angle,click,createdAt,dyad,elapsedTime,feeling,interfaceType,lastSlideModified,position,slope,user,x,y,id,listed,enigma
-1,other,1429099985635,19952,17159,Stressed,dimensions,X,0,180,P19952,-13,0,64333c8b5e29c87b,1,1
189,button,1429100005800,19952,37324,Confused,dimensions,X,1,180,P19952,-23,0,27bdd99403cdf8cd,1,1
189,button,1429100067702,19952,99226,Confused,dimensions,Y,1,195,P19952,-23,-87,8158c6db32aa3a39,1,1
189,button,1429100073222,19952,104746,Confused,dimensions,X,3,207,P19952,-45,-87,1c832132c79f4944,1,1
-1,other,1429100120857,19952,152381,Surprised,dimensions,X,0,190,P19952,-15,-87,1a560bb5b1bf9b01,1,1
189,button,1429100196230,19952,227754,Confused,dimensions,X,1,193,P19952,-20,-87,79fc3ed5b68e8846,1,1
-1,other,1429100202497,19952,234021,Frustrated,dimensions,Y,0,191,P19952,-20,-100,265f4bc0010f6960,1,1
-1,other,1429100232648,19952,264172,Confused,dimensions,Y,0,246,P19952,-20,-9,76152db58aae5904,1,1
-1,other,1429100245832,19952,277356,Astonished,dimensions,Y,0,246,P19952,-20,-9,a91db7fe0f8ba9e2,0,1
189,button,1429100275277,19952,306801,Confused,dimensions,Y,2,206,P19952,-33,-67,a13a818c8f162bdc,1,2
-1,other,1429100309960,19952,341484,Frustrated,dimensions,Y,0,226,P19952,-33,-32,8e27dbbf9b63a931,1,2
225,button,1429100326459,19952,357983,Bored,dimensions,X,1,232,P19952,-41,-32,d438437d2d621864,1,2
207,button,1429100374099,19952,405623,Anxious,dimensions,Y,1,202,P19952,-41,-100,472902c0c0557a3b,1,2
-1,other,1429100387562,19952,419086,Disappointed,dimensions,Y,0,202,P19952,-41,-99,5e37847e97d88a2b,1,2
189,button,1429100394939,19952,426463,Confused,dimensions,X,3,215,P19952,-69,-99,0ba4498483f6c81f,1,2
-1,other,1429100467374,19952,498898,Amused,dimensions,X,0,210,P19952,-58,-99,dc069c5b04ca99aa,1,2
189,button,1429100489436,19952,520960,Confused,dimensions,Y,3,210,P19952,-58,-100,8990136502a7d9ba,1,2
189,button,1429100527379,19952,558903,Confused,dimensions,Y,3,210,P19952,-58,-100,7c852a7a5737f815,1,2
153,button,1429100546394,19952,577918,Relieved,dimensions,X,2,135,P19952,100,-100,558ad846c8e24ac8,1,2
117,button,1429100552322,19952,583846,Relaxed,dimensions,X,3,136,P19952,95,-100,01607250bc693885,1,2
81,button,1429100583353,19952,614877,Attentive,dimensions,X,2,71,P19952,94,33,2b5b8e1d41a6087f,1,3
27,button,1429100587297,19952,618821,Interested,dimensions,X,3,53,P19952,44,33,11a9dc414d4e9950,1,3
81,button,1429100655128,19952,686652,Attentive,dimensions,X,2,64,P19952,69,33,2dc45d22faa709d3,1,3
45,button,1429100659016,19952,690540,Amused,dimensions,Y,2,57,P19952,69,44,a90e84f2b94e684d,1,3
81,button,1429100727920,19952,759444,Attentive,dimensions,Y,2,64,P19952,69,34,90ff81de530e989a,1,3
135,button,1429100759568,19952,791092,Surprised,dimensions,Y,3,113,P19952,69,-29,5ebc56e127c91b79,1,3
-1,other,1429100768924,19952,800448,Confused,dimensions,X,0,127,P19952,39,-29,03d147636cbe39ca,1,3
-1,other,1429100824770,19952,856294,Frustrated,dimensions,X,0,113,P19952,69,-29,9fd8a0bdc5793822,1,3
-1,other,1429100833164,19952,864688,Envious,dimensions,Y,0,64,P19952,69,34,f446b341cc1f1aed,1,3
-1,other,1429100869179,19952,900703,Disappointed,dimensions,X,0,42,P19952,31,34,cfeee1b54acb3852,1,4
-1,other,1429100888357,19952,919881,Bored,dimensions,Y,0,162,P19952,31,-95,76bbbba08c4a0862,1,4
-1,other,1429100923033,19952,954557,Irritated,dimensions,X,0,209,P19952,-53,-95,7eaa30f63328f937,1,4
-1,other,1429101009162,19952,1040686,Amused,dimensions,X,0,153,P19952,48,-95,b2dc76f2b55ff81e,1,4
-1,other,1429101023864,19952,1055388,Frustrated,dimensions,Y,0,154,P19952,48,-100,da5483e9229408a9,1,4
27,button,1429101089942,19952,1121466,Interested,dimensions,Y,2,38,P19952,48,61,99a4288af48c18b5,1,4
45,button,1429101095285,19952,1126809,Amused,dimensions,X,2,54,P19952,84,61,5448b481f169a83f,1,4
45,button,1429101144791,19952,1176315,Amused,dimensions,X,2,59,P19952,100,61,c57f73c78d084a02,1,4
-1,other,1429101154910,19952,1186434,Envious,dimensions,Y,0,96,P19952,100,-10,fd92626090176a63,1,4
117,button,1429102835165,10312,28588,Relaxed,participants,Y,3,90,P10312,0,34,0a66c71634d27843,1,1
81,button,1429102907090,10312,100513,Attentive,participants,X,1,90,P10312,0,34,ad4b656f841d38f8,1,1
9,button,1429103028722,10312,222145,Confident,participants,X,1,7,P10312,4,34,bef82aeaa64b0899,1,1
-1,other,1429103074725,10312,268148,Surprised,participants,Y,0,262,P10312,-7,-1,ba7ba1b4f56f7a2c,1,1
-1,other,1429103103517,10312,296940,Amused,participants,X,0,243,P10312,-2,-1,d8bc956b26f8d8ba,1,1
189,button,1429103125544,10312,318967,Confused,participants,Y,1,184,P10312,-2,-31,8465addf53061b23,1,2
189,button,1429103194649,10312,388072,Confused,participants,X,1,186,P10312,-4,-37,3cb998589684b887,1,2
-1,other,1429103295148,10312,488571,Attentive,participants,X,0,194,P10312,-14,-57,1fafeb0a044dc851,1,2
-1,other,1429103366233,10312,559656,Frustrated,participants,X,0,213,P10312,-37,-57,5326e5278ef82a6e,1,2
-1,other,1429103377409,10312,570832,Disappointed,participants,Y,0,213,P10312,-37,-57,7fdca494150b49bf,0,2
225,button,1429103426174,10312,619597,Bored,participants,Y,1,222,P10312,-43,-47,ea06f26c3b6eb868,1,3
225,button,1429103454549,10312,647972,Bored,participants,Y,1,222,P10312,-43,-47,f3aeb670048ef96d,1,3
-1,other,1429103500781,10312,694204,Confident,participants,X,0,207,P10312,-24,-47,3696f45889e498e6,1,3
225,button,1429103605037,10312,798460,Bored,participants,Y,3,204,P10312,-24,-54,79d1a8889220e893,1,3
-1,other,1429103669855,10312,863278,Irritated,participants,X,0,212,P10312,-40,-65,63f78cc1be443b72,1,3
189,button,1429103735244,10312,928667,Confused,participants,Y,2,206,P10312,-40,-82,6aa216ac54cf1827,1,4
189,button,1429103843970,10312,1037393,Confused,participants,X,2,203,P10312,-37,-89,2e7689ae13fc499d,1,4
-1,other,1429103912573,10312,1105996,Amused,participants,X,0,209,P10312,-29,-52,ac20ee468c6f28a4,1,4
-1,other,1429103978917,10312,1172340,Amused,participants,X,0,179,P10312,2,-98,996869dce35bd801,1,4
27,button,1429107423385,13036,43220,Interested,dimensions,Y,1,28,P13036,14,26,dd255f38824f384b,1,1
-1,other,1429107461971,13036,81806,Confused,dimensions,Y,0,28,P13036,14,26,f8eb82e00d0bc8f7,1,1
45,button,1429107495912,13036,115747,Amused,dimensions,Y,2,28,P13036,14,26,d9beedb5f864db10,1,1
9,button,1429107550182,13036,170017,Confident,dimensions,Y,3,28,P13036,14,26,e6f76e118ba1eae0,1,1
-1,other,1429107618311,13036,238146,Amused,dimensions,X,0,31,P13036,50,83,eed6247dea28787b,1,1
-1,other,1429107642448,13036,262283,Irritated,dimensions,X,0,31,P13036,50,83,a4ae6aeb0ee009b8,1,1
-1,other,1429107666171,13036,286006,Envious,dimensions,X,0,31,P13036,50,83,00dae1e51e324803,1,1
-1,other,1429107703572,13036,323407,Anxious,dimensions,X,0,45,P13036,3,3,88cf60a4d56a683b,1,2
-1,other,1429107728303,13036,348138,Stressed,dimensions,X,0,45,P13036,3,3,b21a00e848a1a8f0,1,2
-1,other,1429107777878,13036,397713,Confused,dimensions,X,0,45,P13036,3,3,11876db1db5f185f,1,2
225,button,1429107886602,13036,506437,Bored,dimensions,X,3,207,P13036,-50,-100,5ea3cc57fc158809,1,2
-1,other,1429107931628,13036,551463,Disgusted,dimensions,X,0,207,P13036,-50,-100,b11d1b4bd8941aed,1,2
-1,other,1429107975018,13036,594853,Sad,dimensions,X,0,207,P13036,-50,-100,44901c62fea8682f,0,2
189,button,1429108016514,13036,636349,Confused,dimensions,X,1,180,P13036,2,0,c22025f1cd8c5bf2,1,3
-1,other,1429108135348,13036,755183,Satisfied,dimensions,X,0,180,P13036,2,0,fcb1f39825b989a5,1,3
-1,other,1429108197764,13036,817599,Envious,dimensions,X,0,180,P13036,2,0,f86c86ba7b33fa17,1,3
-1,other,1429108224446,13036,844281,Amused,dimensions,X,0,180,P13036,2,0,434872d2a7cfaa12,1,3
99,button,1429108286759,13036,906594,Satisfied,dimensions,X,2,116,P13036,64,-31,4d8984e3808859ae,1,4
189,button,1429108325078,13036,944913,Confused,dimensions,X,2,179,P13036,1,-53,169bf8d45340788f,1,4
189,button,1429108364679,13036,984514,Confused,dimensions,X,2,200,P13036,-27,-76,f546cc6e7f799814,1,4
171,button,1429108433133,13036,1052968,Empathetic,dimensions,Y,3,150,P13036,57,-100,2530d0e691781b47,1,4
207,button,1429108486860,13036,1106695,Anxious,dimensions,X,1,210,P13036,-58,-100,c93bb633f489d9a0,1,4
-1,other,1429108571942,13036,1191777,Frustrated,dimensions,X,0,222,P13036,-89,-100,650a899d34684883,1,4
-1,other,1429190448017,28969,101995,Attentive,dimensions,Y,0,328,P28969,-29,46,ed8dac15f50c1806,1,1
369,button,1429190530329,28969,184307,Confident,dimensions,Y,2,352,P28969,-11,80,1d18b56e3615583f,1,1
189,button,1429190612416,28969,266394,Confused,dimensions,Y,1,188,P28969,-11,-74,433928e58d057a3f,1,1
-1,other,1429190682300,28969,336278,Interested,dimensions,X,0,157,P28969,35,-82,17147aaadf6988ae,1,2
-1,other,1429190808153,28969,462131,Frustrated,dimensions,Y,0,159,P28969,35,-90,26f5ae260bd80ab9,1,2
-1,other,1429190852605,28969,506583,Bored,dimensions,X,0,179,P28969,2,-90,9ec43836fd5ae9af,1,2
153,button,1429190902712,28969,556690,Relieved,dimensions,Y,1,146,P28969,18,-27,ca0f5f2032e0e887,1,2
-1,other,1429190923287,28969,577265,Disappointed,dimensions,Y,0,159,P28969,18,-47,27e27a0cc38b68bb,1,2
-1,other,1429190991088,28969,645066,Disappointed,dimensions,X,0,228,P28969,-64,-58,f962eff1ef807815,1,3
-1,other,1429191097269,28969,751247,Attentive,dimensions,X,0,225,P28969,-32,-32,ce69969d6d4f78bb,1,3
225,button,1429191194129,28969,848107,Bored,dimensions,X,2,235,P28969,-45,-32,720a98146f0be821,1,3
-1,other,1429191226069,28969,880047,Annoyed,dimensions,Y,0,229,P28969,-45,-39,6de7deee7f7a69ac,1,3
225,button,1429191302601,28969,956579,Bored,dimensions,Y,3,205,P28969,-29,-62,7b811fe7b707f9ae,1,4
-1,other,1429191393138,28969,1047116,Attentive,dimensions,X,0,215,P28969,-44,-62,876d829694f3d816,1,4
-1,other,1429191527291,28969,1181269,Surprised,dimensions,Y,0,212,P28969,-44,-71,8f8654bb66b69ad6,1,4
189,button,1429281091273,10871,53486,Confused,participants,X,2,199,P10871,-7,-20,b6afe2062d50eab2,1,1
243,button,1429281218608,10871,180821,Stressed,participants,Y,3,225,P10871,-18,-18,e88b1c73ce097ad9,1,1
135,button,1429281302751,10871,264964,Surprised,participants,Y,3,153,P10871,3,-6,26406d22ca341845,1,1
189,button,1429281375040,10871,337253,Confused,participants,Y,1,196,P10871,-4,-14,286f075828138aaa,1,2
261,button,1429281480710,10871,442923,Disappointed,participants,Y,3,235,P10871,-13,-9,cc6b31e82fbbf82c,1,2
189,button,1429281571427,10871,533640,Confused,participants,Y,1,187,P10871,-6,-52,2c64f47faf5b6819,1,2
135,button,1429281614655,10871,576868,Surprised,participants,Y,1,134,P10871,23,-22,1887ce59e8f63842,1,2
45,button,1429281657533,10871,619746,Amused,participants,Y,3,71,P10871,23,8,e583bede67237976,1,3
-1,other,1429281922303,10871,884516,Frustrated,participants,Y,0,212,P10871,-13,-21,7a884837b3c859f4,1,3
-1,other,1429282005653,10871,967866,Interested,participants,Y,0,106,P10871,7,-2,fc79beebcfc32880,1,4
189,button,1429282117778,10871,1079991,Confused,participants,Y,3,170,P10871,7,-39,9a11673c99e1e955,1,4
-1,none,1429282204346,10871,1166559,None,participants,X,0,153,P10871,20,-39,acea0b0664a5f9bd,0,4
-1,other,1429282222467,10871,1184680,Amused,participants,Y,0,150,P10871,15,-26,3a3f000a5efb28d0,1,4
-1,other,1429524323682,12885,104680,Confident,participants,Y,0,37,P12885,29,38,f94000b7b120f869,1,1
27,button,1429524399030,12885,180028,Interested,participants,Y,2,44,P12885,29,30,3b3cbc4b668f6a75,1,1
99,button,1429524466877,12885,247875,Satisfied,participants,Y,1,105,P12885,29,-8,c2888fb02d2b7810,1,1
-1,other,1429524577197,12885,358195,Taken aback,participants,Y,0,88,P12885,29,1,fea94398c899cbf9,0,2
-1,other,1429524792797,12885,573795,Disgusted,participants,Y,0,88,P12885,29,1,8e9a01834d39d9b7,1,2
-1,other,1429524858036,12885,639034,Attentive,participants,X,0,157,P12885,5,-12,f8df2d7bf9b7688c,1,3
-1,other,1429525004984,12885,785982,Anxious,participants,Y,0,6,P12885,5,44,bb6e7e11f525d886,1,3
-1,other,1429525058901,12885,839899,Collaborative,participants,Y,0,7,P12885,5,40,9e9c0513b154fa0b,0,3
45,button,1429525177870,12885,958868,Amused,participants,X,1,50,P12885,54,45,a029e3e481f93970,1,4
-1,other,1429525303888,12885,1084886,Confused,participants,Y,0,98,P12885,54,-8,2a19b566de9428d5,1,4
-1,other,1429525390055,12885,1171053,Amused,participants,Y,0,76,P12885,54,13,072c239171670896,1,4
27,button,1429625502399,14692,48016,Interested,dimensions,Y,2,39,P14692,48,59,5300de68e1226903,1,1
189,button,1429625553165,14692,98782,Confused,dimensions,X,3,164,P14692,10,-34,f96e4772bc26383d,1,1
-1,other,1429625647120,14692,192737,Confused,dimensions,Y,0,45,P14692,24,24,6300fd5b0408787e,1,1
-1,other,1429625723704,14692,269321,Confused,dimensions,Y,0,230,P14692,-26,-22,a905fdd8679b88ea,1,1
27,button,1429625745187,14692,290804,Interested,dimensions,Y,3,51,P14692,48,39,cb62b1c7c0a33810,1,1
-1,other,1429625816031,14692,361648,Attentive,dimensions,X,0,138,P14692,40,-44,054fb7a2764118b2,1,2
189,button,1429625900499,14692,446116,Confused,dimensions,X,3,163,P14692,24,-78,f9cd138832145893,1,2
27,button,1429625929610,14692,475227,Interested,dimensions,X,3,46,P14692,66,63,720b6dafbc0cb81d,1,2
-1,other,1429625977151,14692,522768,Frustrated,dimensions,X,0,64,P14692,35,17,66dd8d0bc87b7936,1,2
45,button,1429626005242,14692,550859,Amused,dimensions,Y,2,57,P14692,100,65,3705afcad19cf803,1,2
-1,other,1429626083637,14692,629254,Attentive,dimensions,Y,0,44,P14692,51,52,a798b8010ee459cb,1,3
63,button,1429626167607,14692,713224,Delighted,dimensions,Y,3,45,P14692,100,100,614110205a3978e2,1,3
-1,other,1429626286116,14692,831733,Satisfied,dimensions,Y,0,45,P14692,100,100,6d7af85833dab939,1,3
-1,other,1429626450304,14692,995921,Confused,dimensions,Y,0,130,P14692,58,-49,5175fb4da25dc897,1,4
-1,other,1429626478072,14692,1023689,Attentive,dimensions,Y,0,130,P14692,58,-49,ab1ebc74a80f88c7,1,4
-1,other,1429626498257,14692,1043874,Irritated,dimensions,Y,0,113,P14692,58,-25,d729c7f6c5ff2916,1,4
45,button,1429626623573,14692,1169190,Amused,dimensions,X,3,68,P14692,89,36,cf6f2d8ba32f083a,1,4
27,button,1429629291437,20836,7706,Interested,participants,Y,2,39,P20836,28,34,d04ca13b987f785e,1,1
45,button,1429629346582,20836,62851,Amused,participants,Y,1,49,P20836,52,46,67944556a9b398e5,1,1
27,button,1429629417476,20836,133745,Interested,participants,Y,2,41,P20836,61,71,fe62364d3db798be,1,1
45,button,1429629474491,20836,190760,Amused,participants,X,1,45,P20836,72,71,1287caa5534f4859,1,1
-1,other,1429629530185,20836,246454,Relieved,participants,Y,0,46,P20836,72,69,e5a6f61303b99830,1,1
81,button,1429629595409,20836,311678,Attentive,participants,Y,1,86,P20836,42,3,9a2095a2f154583f,1,2
279,button,1429629626234,20836,342503,Frustrated,participants,X,1,281,P20836,-15,3,83c069e15ed018c2,1,2
-1,other,1429629664523,20836,380792,Irritated,participants,Y,0,223,P20836,-15,-16,e0f7dac6aafb98d1,1,2
261,button,1429629769814,20836,486083,Disappointed,participants,X,2,245,P20836,-35,-16,932b58962a3f4805,1,2
63,button,1429629794191,20836,510460,Delighted,participants,X,2,48,P20836,36,32,57bcb29183a948f7,1,2
-1,other,1429629823122,20836,539391,Confident,participants,X,0,51,P20836,76,61,d4903cb066e5d854,1,2
-1,other,1429629855155,20836,571424,Relaxed,participants,X,0,51,P20836,76,61,d513648c1980a8b0,1,2
-1,other,1429629891274,20836,607543,Attentive,participants,X,0,51,P20836,76,61,f35a5b3a99e1c890,1,3
-1,other,1429629983227,20836,699496,Surprised,participants,Y,0,81,P20836,76,12,83335696d679384e,1,3
-1,other,1429630058566,20836,774835,Disappointed,participants,Y,0,115,P20836,76,-36,8f3e6cf8a7393aea,1,3
-1,other,1429630098532,20836,814801,Envious,participants,X,0,119,P20836,66,-36,89a95407c164f8d0,1,3
-1,other,1429630139598,20836,855867,Empathetic,participants,X,0,119,P20836,66,-36,1994c2fde5366898,1,3
117,button,1429630159931,20836,876200,Relaxed,participants,X,3,91,P20836,54,-1,2b5b639598388a0c,1,3
81,button,1429630199042,20836,915311,Attentive,participants,X,2,91,P20836,54,-1,c7ea0b9dfb676a2c,1,4
-1,other,1429630240005,20836,956274,Interested,participants,X,0,115,P20836,37,-17,69ac0d9a1365a8a1,1,4
-1,other,1429630349292,20836,1065561,Attentive,participants,X,0,126,P20836,23,-17,4f1fe495bd53a96a,1,4
-1,other,1429630448499,20836,1164768,Disgusted,participants,X,0,126,P20836,23,-17,8e94f1f94ca3e8ed,1,4
-1,other,1429630461730,20836,1177999,Amused,participants,Y,0,92,P20836,38,-1,64e7709d4acf48c9,1,4
45,button,1429691056308,50209,44070,Amused,dimensions,Y,1,38,P50209,38,48,132c9e610e9419ec,1,1
-1,other,1429691184416,50209,172178,Curious,dimensions,X,0,38,P50209,37,48,ba1938ee02734948,0,1
45,button,1429691299345,50209,287107,Amused,dimensions,X,2,33,P50209,31,48,3343a86ad6d8196e,1,1
-1,other,1429691352634,50209,340396,Confused,dimensions,Y,0,126,P50209,40,-29,8987523fabeb382b,1,2
