user,experiment,x,y,lastDimension,click,listed,label,time,elapsedTime,observedRadialAngle,observedRadialQuadrant,expectedRadialAngle,expectedRadialQuadrant,radialDistance,expectedDimensionX,expectedDimensionY,vectorDistance,observedVectorQuadrant,expectedVectorQuadrant,_id
8s,ryih9BATl,2,27,Y,button,VERO,Confiant,2017-04-25T13:51:31Z,51115,4.236394799,1,9,1,5,NA,NA,NA,NA,NA,99
8s,ryih9BATl,28,27,X,button,VERO,Intéressé,2017-04-25T13:51:35Z,55303,46.04162668,1,9,1,37,NA,NA,NA,NA,NA,100
8s,ryih9BATl,29,27,X,button,VERO,Intéressé,2017-04-25T13:54:05Z,205510,47.04540849,1,9,1,38,NA,NA,NA,NA,NA,101
8s,ryih9BATl,29,62,Y,button,VERO,Confiant,2017-04-25T13:54:17Z,217444,25.06746344,1,9,1,16,NA,NA,NA,NA,NA,102
8s,ryih9BATl,58,62,X,button,VERO,Amusé,2017-04-25T13:54:59Z,259196,43.09084757,1,9,1,34,NA,NA,NA,NA,NA,103
8s,ryih9BATl,58,66,Y,button,VERO,Amusé,2017-04-25T13:55:25Z,285050,41.30861401,1,9,1,32,NA,NA,NA,NA,NA,104
8s,ryih9BATl,58,27,Y,button,VERO,Concentré,2017-04-25T13:57:52Z,432953,65.03721017,1,9,1,56,NA,NA,NA,NA,NA,105
8s,ryih9BATl,0,27,X,button,VERO,Concentré,2017-04-25T13:58:00Z,440624,90,1,9,1,81,NA,NA,NA,NA,NA,106
8s,ryih9BATl,0,-16,Y,button,VERO,Stressé,2017-04-25T13:59:10Z,510832,270,3,9,1,99,NA,NA,NA,NA,NA,107
8s,ryih9BATl,-8,-16,X,button,VERO,Confus,2017-04-25T13:59:38Z,538153,206.5650512,3,9,1,162,NA,NA,NA,NA,NA,108
8s,ryih9BATl,27,-16,X,button,VERO,Surpris,2017-04-25T13:59:58Z,558334,120.650668,2,9,1,112,NA,NA,NA,NA,NA,109
8s,ryih9BATl,27,35,Y,button,VERO,Amusé,2017-04-25T14:00:02Z,562183,37.64762064,1,9,1,29,NA,NA,NA,NA,NA,110
8s,ryih9BATl,53,35,X,button,VERO,Amusé,2017-04-25T14:00:36Z,596487,56.56013079,1,9,1,48,NA,NA,NA,NA,NA,111
8s,ryih9BATl,10,21,Y,button,VERO,Amusé,2017-04-25T14:10:16Z,1176107,25.46334506,1,9,1,16,NA,NA,NA,NA,NA,112
8s,ryih9BATl,23,21,X,button,VERO,Amusé,2017-04-25T14:10:27Z,1187395,47.6025622,1,9,1,39,NA,NA,NA,NA,NA,113
9s,ryih9BATl,67,0,X,button,VERO,Confus,2017-04-26T06:20:01Z,150603,180,2,9,1,171,NA,NA,NA,NA,NA,114
9s,ryih9BATl,67,-2,Y,button,VERO,Concentré,2017-04-26T06:21:35Z,243974,91.70981404,2,9,1,83,NA,NA,NA,NA,NA,115
9s,ryih9BATl,-100,-2,X,button,VERO,Frustré,2017-04-26T06:21:59Z,268797,268.8542372,3,9,1,100,NA,NA,NA,NA,NA,116
9s,ryih9BATl,31,-2,X,button,VERO,Détendu,2017-04-26T06:24:52Z,441629,93.69138599,2,9,1,85,NA,NA,NA,NA,NA,117
9s,ryih9BATl,31,13,Y,button,VERO,Concentré,2017-04-26T06:25:00Z,449490,67.24902366,1,9,1,58,NA,NA,NA,NA,NA,118
9s,ryih9BATl,32,13,X,button,VERO,Concentré,2017-04-26T06:31:15Z,824446,67.89055166,1,9,1,59,NA,NA,NA,NA,NA,119
9s,ryih9BATl,32,25,Y,button,VERO,Intéressé,2017-04-26T06:31:18Z,827916,52.00126756,1,9,1,43,NA,NA,NA,NA,NA,120
9s,ryih9BATl,37,25,X,button,VERO,Ravi,2017-04-26T06:32:28Z,897532,55.95406264,1,9,1,47,NA,NA,NA,NA,NA,121
9s,ryih9BATl,-71,25,X,other,FALSO,déconcerté,2017-04-26T06:33:10Z,939792,289.3978124,4,NA,NA,NA,NA,NA,NA,NA,NA,122
9s,ryih9BATl,-82,25,X,button,VERO,Frustré,2017-04-26T06:36:52Z,1161056,286.9553131,4,9,1,82,NA,NA,NA,NA,NA,123
12s,ryih9BATl,-48,47,Y,other,VERO,Frustré,2017-04-27T08:36:39Z,279246,314.3969088,4,9,1,55,NA,NA,NA,NA,NA,180
12s,ryih9BATl,-48,-100,Y,other,VERO,Surpris,2017-04-27T08:39:26Z,446131,205.6410058,3,9,1,163,NA,NA,NA,NA,NA,181
12s,ryih9BATl,-1,-100,X,other,VERO,Amusé,2017-04-27T08:41:31Z,570950,180.5729387,3,9,1,172,NA,NA,NA,NA,NA,182
12s,ryih9BATl,-30,-100,X,other,VERO,Lassé,2017-04-27T08:45:06Z,786064,196.6992442,3,9,1,172,NA,NA,NA,NA,NA,183
12s,ryih9BATl,13,-100,X,other,VERO,Amusé,2017-04-27T08:50:46Z,1126259,172.5930879,2,9,1,164,NA,NA,NA,NA,NA,184
12s,ryih9BATl,100,-100,X,button,VERO,Soulagé,2017-04-27T08:51:16Z,1155844,135,2,9,1,126,NA,NA,NA,NA,NA,185
13s,ryih9BATl,97,93,X,button,VERO,Intéressé,2017-04-27T10:32:00Z,33303,46.20604878,1,9,1,37,NA,NA,NA,NA,NA,186
