user,group,Fixation_Duration_DISPLAY_N,Fixation_Duration_DISPLAY_Mean,Fixation_Duration_DISPLAY_Sum,Fixation_Duration_EAT_N,Fixation_Duration_EAT_Mean,Fixation_Duration_EAT_Sum,Fixation_Duration_MONITORING_N,Fixation_Duration_MONITORING_Mean,Fixation_Duration_MONITORING_Sum,Fixation_Duration_TASK_N,Fixation_Duration_TASK_Mean,Fixation_Duration_TASK_Sum,Total_Fixation_Duration_DISPLAY_Mean,Total_Fixation_Duration_DISPLAY_Sum,Total_Fixation_Duration_EAT_Mean,Total_Fixation_Duration_EAT_Sum,Total_Fixation_Duration_MONITORING_Mean,Total_Fixation_Duration_MONITORING_Sum,Total_Fixation_Duration_TASK_Mean,Total_Fixation_Duration_TASK_Sum,Fixation_Count_DISPLAY_Mean,Fixation_Count_DISPLAY_Sum,Fixation_Count_EAT_Mean,Fixation_Count_EAT_Sum,Fixation_Count_MONITORING_Mean,Fixation_Count_MONITORING_Sum,Fixation_Count_TASK_Mean,Fixation_Count_TASK_Sum,Visit_Duration_DISPLAY_N,Visit_Duration_DISPLAY_Mean,Visit_Duration_DISPLAY_Sum,Visit_Duration_EAT_N,Visit_Duration_EAT_Mean,Visit_Duration_EAT_Sum,Visit_Duration_MONITORING_N,Visit_Duration_MONITORING_Mean,Visit_Duration_MONITORING_Sum,Visit_Duration_TASK_N,Visit_Duration_TASK_Mean,Visit_Duration_TASK_Sum,Total_Visit_Duration_DISPLAY_Mean,Total_Visit_Duration_DISPLAY_Sum,Total_Visit_Duration_EAT_Mean,Total_Visit_Duration_EAT_Sum,Total_Visit_Duration_MONITORING_Mean,Total_Visit_Duration_MONITORING_Sum,Total_Visit_Duration_TASK_Mean,Total_Visit_Duration_TASK_Sum,Visit_Count_DISPLAY_Mean,Visit_Count_DISPLAY_Sum,Visit_Count_EAT_Mean,Visit_Count_EAT_Sum,Visit_Count_MONITORING_Mean,Visit_Count_MONITORING_Sum,Visit_Count_TASK_Mean
12s,0,412,0.18,72.43,524,0.17,91.32,109,0.17,18.51,2601,0.22,580.22,72.43,72.43,91.32,91.32,18.51,18.51,580.22,580.22,412,412,524,524,109,109,2601,2601,114,0.83,95.15,124,0.99,122.36,38,0.6,22.74,242,3.41,825.8,95.15,95.15,122.36,122.36,22.74,22.74,825.8,825.8,114,114,124,124,38,38,242
13s,0,470,0.26,122.88,589,0.24,142.04,118,0.16,18.97,2546,0.25,631.46,122.88,122.88,142.04,142.04,18.97,18.97,631.46,631.46,470,470,589,589,118,118,2546,2546,91,1.53,139.59,99,1.69,167.1,40,0.61,24.33,427,1.69,723.5,139.59,139.59,167.1,167.1,24.33,24.33,723.5,723.5,91,91,99,99,40,40,427
18s,0,579,0.24,139.19,846,0.22,189.99,257,0.19,48.58,2554,0.24,611.87,139.19,139.19,189.99,189.99,48.58,48.58,611.87,611.87,579,579,846,846,257,257,2554,2554,156,1,155.83,175,1.29,226.21,71,0.9,63.57,472,1.48,697.26,155.83,155.83,226.21,226.21,63.57,63.57,697.26,697.26,156,156,175,175,71,71,472
19s,0,543,0.13,71.98,581,0.13,76.19,36,0.11,4.06,1582,0.14,219.14,71.98,71.98,76.19,76.19,4.06,4.06,219.14,219.14,543,543,581,581,36,36,1582,1582,89,2.31,205.53,87,2.74,237.98,23,0.7,16.12,156,4.01,626.14,205.53,205.53,237.98,237.98,16.12,16.12,626.14,626.14,89,89,87,87,23,23,156
30s,0,483,0.17,80.32,529,0.16,85.17,46,0.11,4.85,1714,0.14,248.03,80.32,80.32,85.17,85.17,4.85,4.85,248.03,248.03,483,483,529,529,46,46,1714,1714,121,1.15,139.08,126,1.22,154.02,24,0.41,9.73,292,1.74,509.13,139.08,139.08,154.02,154.02,9.73,9.73,509.13,509.13,121,121,126,126,24,24,292
32s,0,530,0.27,144.03,714,0.26,187.99,179,0.24,43.18,2485,0.23,579.85,144.03,144.03,187.99,187.99,43.18,43.18,579.85,579.85,530,530,714,714,179,179,2485,2485,113,1.42,160.33,111,1.94,215.41,49,1.03,50.51,357,1.92,686.71,160.33,160.33,215.41,215.41,50.51,50.51,686.71,686.71,113,113,111,111,49,49,357
34s,0,501,0.25,126.9,642,0.25,158.98,136,0.23,30.78,2521,0.25,629.52,126.9,126.9,158.98,158.98,30.78,30.78,629.52,629.52,501,501,642,642,136,136,2521,2521,120,1.17,140.59,126,1.42,179.53,52,0.67,34.63,289,2.63,759.95,140.59,140.59,179.53,179.53,34.63,34.63,759.95,759.95,120,120,126,126,52,52,289
36s,0,569,0.26,147.79,676,0.24,164.33,103,0.16,16.04,2511,0.26,662.35,147.79,147.79,164.33,164.33,16.04,16.04,662.35,662.35,569,569,676,676,103,103,2511,2511,60,2.82,169.28,65,3.02,196.17,41,0.55,22.6,217,3.54,767.54,169.28,169.28,196.17,196.17,22.6,22.6,767.54,767.54,60,60,65,65,41,41,217
43s,0,230,0.16,36.91,294,0.15,44.87,40,0.11,4.53,1983,0.22,426.35,36.91,36.91,44.87,44.87,4.53,4.53,426.35,426.35,230,230,294,294,40,40,1983,1983,89,0.73,64.93,130,0.65,84.84,26,0.49,12.82,362,1.71,619.66,64.93,64.93,84.84,84.84,12.82,12.82,619.66,619.66,89,89,130,130,26,26,362
46s,0,534,0.21,112.15,748,0.21,153.52,203,0.19,38.62,2288,0.25,572.8,112.15,112.15,153.52,153.52,38.62,38.62,572.8,572.8,534,534,748,748,203,203,2288,2288,105,1.31,137.8,121,1.6,193.67,69,0.68,46.78,306,2.2,671.99,137.8,137.8,193.67,193.67,46.78,46.78,671.99,671.99,105,105,121,121,69,69,306
