participant,group,experiment,x,y,lastDimension,click,listed,label,time,elapsedTime,observedRadialAngle,observedRadialQuadrant,expectedRadialAngle,expectedRadialQuadrant,radialDistance,expectedDimensionX,expectedDimensionY,vectorDistance,observedVectorQuadrant,expectedVectorQuadrant,numOnline,_id,datetime,abstime
R479E,Class 1,BJVwwrM5X,-61,100,Y,button,TRUE,Enervé,2018-11-05T15:40:12Z,12177,328.6168089,4,333,4,4,NA,NA,NA,NA,NA,1,182,2018-11-05T15:40:12Z,2019-11-04
R479E,Class 1,BJVwwrM5X,-100,-100,Y,other,TRUE,Enervé,2018-11-05T16:15:34Z,15338,225,3,NA,NA,NA,NA,NA,NA,NA,NA,1,183,2018-11-05T16:15:34Z,2019-11-04
OIA81,Class 1,BJVwwrM5X,0,0,X,button,TRUE,Confiant,2018-11-06T10:47:59Z,28230,NA,NA,9,1,NA,NA,NA,NA,NA,NA,1,184,2018-11-06T10:47:59Z,2019-11-05
OIA81,Class 1,BJVwwrM5X,0,100,Y,other,TRUE,Détendu,2018-11-06T10:48:40Z,68759,90,1,117,2,27,NA,NA,NA,NA,NA,1,185,2018-11-06T10:48:40Z,2019-11-05
Z0KOY,Class 1,BJVwwrM5X,-16,19,X,other,FALSE,Blasé,2018-11-07T09:25:10Z,80279,319.8990925,4,NA,NA,NA,NA,NA,NA,NA,NA,2,186,2018-11-07T09:25:10Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-1,0,X,other,TRUE,Concentré,2018-11-07T10:00:27Z,17478,180,2,81,1,99,NA,NA,NA,NA,NA,2,187,2018-11-07T10:00:27Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-27,0,X,other,TRUE,Anxieux,2018-11-07T10:00:57Z,47619,180,2,207,3,27,NA,NA,NA,NA,NA,2,188,2018-11-07T10:00:57Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-26,9,X,other,TRUE,Confiant,2018-11-07T10:02:17Z,127759,289.093492,4,9,1,80,NA,NA,NA,NA,NA,2,189,2018-11-07T10:02:17Z,2019-11-06
Z0KOY,Class 1,BJVwwrM5X,0,55,Y,other,FALSE,Neutre,2018-11-07T10:50:02Z,5172904,90,1,NA,NA,NA,NA,NA,NA,NA,NA,1,190,2018-11-07T10:50:02Z,2019-11-06
Z0KOY,Class 1,BJVwwrM5X,0,54,Y,button,TRUE,Satisfait,2018-11-07T12:12:04Z,10094692,90,1,99,2,9,NA,NA,NA,NA,NA,1,191,2018-11-07T12:12:04Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,94,0,X,button,TRUE,Soulagé,2018-11-07T15:51:28Z,9405,180,2,153,2,27,NA,NA,NA,NA,NA,1,192,2018-11-07T15:51:28Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,94,0,X,other,TRUE,Satisfait,2018-11-07T15:52:08Z,48996,180,2,99,2,81,NA,NA,NA,NA,NA,1,193,2018-11-07T15:52:08Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-38,0,X,other,FALSE,Impatient,2018-11-07T22:00:01Z,160632,180,2,NA,NA,NA,NA,NA,NA,NA,NA,1,194,2018-11-07T22:00:01Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-38,22,Y,other,TRUE,Lassé,2018-11-07T22:01:51Z,270868,300.0685828,4,225,3,75,NA,NA,NA,NA,NA,1,195,2018-11-07T22:01:51Z,2019-11-06
OIA81,Class 1,BJVwwrM5X,-3,0,X,other,TRUE,Anxieux,2018-11-08T10:43:31Z,21238,180,2,207,3,27,NA,NA,NA,NA,NA,1,196,2018-11-08T10:43:31Z,2019-11-07
OIA81,Class 1,BJVwwrM5X,-3,8,Y,other,TRUE,Confiant,2018-11-08T10:43:47Z,36706,339.4439548,4,9,1,30,NA,NA,NA,NA,NA,1,197,2018-11-08T10:43:47Z,2019-11-07
OIA81,Class 1,BJVwwrM5X,-29,0,X,button,TRUE,Confus,2018-11-08T13:46:35Z,14873,180,2,189,3,9,NA,NA,NA,NA,NA,1,198,2018-11-08T13:46:35Z,2019-11-07
OIA81,Class 1,BJVwwrM5X,1,0,X,other,FALSE,Dispersé,2018-11-08T13:49:19Z,178901,180,2,NA,NA,NA,NA,NA,NA,NA,NA,1,199,2018-11-08T13:49:19Z,2019-11-07
OIA81,Class 1,BJVwwrM5X,18,0,X,other,TRUE,Amusé,2018-11-08T14:25:32Z,8951,180,2,45,1,135,NA,NA,NA,NA,NA,1,200,2018-11-08T14:25:32Z,2019-11-07
XJ25A,Class 1,BJVwwrM5X,-45,-43,Y,button,TRUE,Stressé,2018-11-08T20:08:53Z,14554,226.3019527,3,243,3,17,NA,NA,NA,NA,NA,1,201,2018-11-08T20:08:53Z,2019-11-07
H2IPW,Class 1,BJVwwrM5X,14,20,Y,button,TRUE,Intéressé,2018-11-08T20:36:09Z,11878,34.9920202,1,27,1,8,NA,NA,NA,NA,NA,2,202,2018-11-08T20:36:09Z,2019-11-07
XJ25A,Class 1,BJVwwrM5X,-45,-43,Y,button,TRUE,Anxieux,2018-11-08T21:26:04Z,4645960,226.3019527,3,207,3,19,NA,NA,NA,NA,NA,1,203,2018-11-08T21:26:04Z,2019-11-07
OIA81,Class 1,BJVwwrM5X,-6,0,X,other,TRUE,Frustré,2018-11-09T13:05:43Z,26995,180,2,279,4,99,NA,NA,NA,NA,NA,1,204,2018-11-09T13:05:43Z,2019-11-08
OIA81,Class 1,BJVwwrM5X,-6,47,Y,button,TRUE,Confiant,2018-11-09T13:05:49Z,32852,352.724995,4,9,1,16,NA,NA,NA,NA,NA,1,205,2018-11-09T13:05:49Z,2019-11-08
OIA81,Class 1,BJVwwrM5X,10,0,X,other,TRUE,Concentré,2018-11-09T19:54:52Z,11345,180,2,81,1,99,NA,NA,NA,NA,NA,1,206,2018-11-09T19:54:52Z,2019-11-08
OIA81,Class 1,BJVwwrM5X,12,0,X,other,TRUE,Intéressé,2018-11-09T19:55:09Z,28478,180,2,27,1,153,NA,NA,NA,NA,NA,1,207,2018-11-09T19:55:09Z,2019-11-08
OIA81,Class 1,BJVwwrM5X,14,0,X,other,TRUE,Amusé,2018-11-09T19:55:32Z,51055,180,2,45,1,135,NA,NA,NA,NA,NA,1,208,2018-11-09T19:55:32Z,2019-11-08
H2IPW,Class 1,BJVwwrM5X,27,44,X,button,TRUE,Intéressé,2018-11-09T21:08:20Z,4360,31.53479191,1,27,1,5,NA,NA,NA,NA,NA,1,209,2018-11-09T21:08:20Z,2019-11-08
H2IPW,Class 1,BJVwwrM5X,27,5,Y,button,TRUE,Concentré,2018-11-09T21:08:23Z,8123,79.50852299,1,81,1,1,NA,NA,NA,NA,NA,1,210,2018-11-09T21:08:23Z,2019-11-08
HRH9P,Class 1,BJVwwrM5X,39,45,Y,button,TRUE,Intéressé,2018-11-09T23:15:54Z,13960,40.91438322,1,27,1,14,NA,NA,NA,NA,NA,1,211,2018-11-09T23:15:54Z,2019-11-08
OIA81,Class 1,BJVwwrM5X,16,0,X,button,TRUE,Soulagé,2018-11-10T13:36:32Z,9019,180,2,153,2,27,NA,NA,NA,NA,NA,1,212,2018-11-10T13:36:32Z,2019-11-09
OIA81,Class 1,BJVwwrM5X,22,0,X,other,TRUE,Concentré,2018-11-10T13:36:58Z,35309,180,2,81,1,99,NA,NA,NA,NA,NA,1,213,2018-11-10T13:36:58Z,2019-11-09
OIA81,Class 1,BJVwwrM5X,24,0,X,button,TRUE,Soulagé,2018-11-10T13:37:03Z,40189,180,2,153,2,27,NA,NA,NA,NA,NA,1,214,2018-11-10T13:37:03Z,2019-11-09
OIA81,Class 1,BJVwwrM5X,24,30,Y,other,TRUE,Stressé,2018-11-10T13:37:40Z,77452,38.65980825,1,243,3,156,NA,NA,NA,NA,NA,1,215,2018-11-10T13:37:40Z,2019-11-09
OIA81,Class 1,BJVwwrM5X,24,38,Y,other,TRUE,Anxieux,2018-11-10T13:38:02Z,99431,32.27564431,1,207,3,175,NA,NA,NA,NA,NA,1,216,2018-11-10T13:38:02Z,2019-11-09
OIA81,Class 1,BJVwwrM5X,9,0,X,button,TRUE,Soulagé,2018-11-10T21:31:47Z,22015,180,2,153,2,27,NA,NA,NA,NA,NA,1,217,2018-11-10T21:31:47Z,2019-11-09
