participant,group,date,survey,dimension,value
HRH9P,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,8
R479E,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,1
XJ25A,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
QUOGW,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,8
WPNGW,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,6
OIA81,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,9
F7P3E,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
ATRMN,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,10
H2IPW,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
Z0KOY,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
I5584,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
5T58D,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,10
JQQI3,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
5VQBW,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,10
MCID1,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
ILC91,Class 1,1980-01-01T00:00:00Z,Expectancy,Frequency,5
TDTPK,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,4
41DRO,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,4
WIN3R,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,7
QXZIZ,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
UO7DJ,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
BV58S,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
MK305,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,3
KW7I6,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,2
4873I,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,7
FEMKP,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
Z68B8,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,3
4DN3C,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,4
DT6KT,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,2
094O8,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
30WP8,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,5
GA42L,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,8
IG6VT,Class 2,1980-01-01T00:00:00Z,Expectancy,Frequency,4
HRH9P,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,8
R479E,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,5
XJ25A,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,7
QUOGW,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,8
WPNGW,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,7
OIA81,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,5
F7P3E,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,5
ATRMN,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,9
H2IPW,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,6
Z0KOY,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,8
I5584,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,7
5T58D,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,10
JQQI3,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,8
5VQBW,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,7
MCID1,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,8
ILC91,Class 1,1980-01-01T00:00:00Z,Expectancy,Affordance,3
TDTPK,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,6
41DRO,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,6
WIN3R,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,7
QXZIZ,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,5
UO7DJ,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,6
BV58S,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,7
MK305,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,5
KW7I6,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,1
4873I,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,5
FEMKP,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,10
Z68B8,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,4
4DN3C,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,8
DT6KT,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,7
094O8,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,2
30WP8,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,10
GA42L,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,9
IG6VT,Class 2,1980-01-01T00:00:00Z,Expectancy,Affordance,6
HRH9P,Class 1,1980-01-01T00:00:00Z,Expectancy,Social Presence,9
R479E,Class 1,1980-01-01T00:00:00Z,Expectancy,Social Presence,1
