participant,sub_competence,score
Z0KOY,recognition,0.83
Z0KOY,understanding,0.8
Z0KOY,regulation,0.39
Z0KOY,management,0.6
H2IPW,recognition,0.69
H2IPW,understanding,0.85
H2IPW,regulation,0.43
H2IPW,management,0.25
4DN3C,recognition,0.67
4DN3C,understanding,0.89
4DN3C,regulation,0.5
4DN3C,management,0.65
ATRMN,recognition,0.74
ATRMN,understanding,0.9
ATRMN,regulation,0.54
ATRMN,management,0.55
30WP8,recognition,0.48
30WP8,understanding,0.37
30WP8,regulation,0.57
30WP8,management,0.4
WPNGW,recognition,0.81
WPNGW,understanding,0.6
WPNGW,regulation,0.61
WPNGW,management,0.5
MCID1,recognition,0.74
MCID1,understanding,0.9
MCID1,regulation,0.63
MCID1,management,0.65
GA42L,recognition,0.64
GA42L,understanding,0.9
GA42L,regulation,0.63
GA42L,management,0.7
HRH9P,recognition,0.79
HRH9P,understanding,0.84
HRH9P,regulation,0.64
HRH9P,management,0.7
ILC91,recognition,0.79
ILC91,understanding,0.85
ILC91,regulation,0.66
ILC91,management,0.4
XJ25A,recognition,0.83
XJ25A,understanding,0.85
XJ25A,regulation,0.66
XJ25A,management,0.65
OIA81,recognition,0.81
OIA81,understanding,0.7
OIA81,regulation,0.68
OIA81,management,0.4
