label_fr,label_en,avg_frequency,n,sd_frequency,agent,se,lower.ci,upper.ci
Amusé,Amused,2.380952380952381,21,1.1169686869465265,Self,0.24374255032513767,1.8725143304307832,2.889390431473979
Anxieux,Anxious,3,22,0.9759000729485332,Self,0.20806259464411975,2.5673101476081253,3.4326898523918747
Concentré,Attentive,3.4545454545454546,11,0.9341987329938276,Self,0.28167151608781216,2.8269422060523235,4.082148703038586
Confiant,Confident,3,22,0.7559289460184544,Self,0.16116459280507603,2.664839881522665,3.335160118477335
Confus,Confused,3.04,25,0.8888194417315589,Self,0.1777638883463118,2.6731133665326423,3.4068866334673578
Dégoûté,Disgusted,2.12,25,1.0132456102380443,Self,0.20264912204760885,1.701752768490758,2.538247231509242
Détendu,Relaxed,2.48,25,1.0847426730181986,Self,0.21694853460363972,2.03224023148424,2.92775976851576
Empathique,Empathetic,2.4782608695652173,23,1.2011193725169755,Self,0.2504507021729785,1.958857903491025,2.9976638356394094
Enervé,Annoyed,2.9130434782608696,23,0.9960395884000189,Self,0.2076886111528799,2.48232366108052,3.343763295441219
Envieux,Envious,1.6923076923076923,26,0.9703290480751676,Self,0.19029718272081506,1.300383308013835,2.0842320766015496
Frustré,Frustrated,3.4761904761904763,21,0.8135752957807666,Self,0.17753668459340236,3.10585544157987,3.8465255108010825
Insatisfait,Disappointed,2.9166666666666665,24,0.8805466023105079,Self,0.17974082253351395,2.5448444462297335,3.2884888871035995
Intéressé,Interested,3.533333333333333,15,0.833809387832792,Self,0.21528865819918697,3.0715850851680306,3.995081581498636
Irrité,Irritated,2.8636363636363638,22,1.0371873387954442,Self,0.2211290836261579,2.403773259855461,3.3234994674172667
Lassé,Bored,2.96,25,0.9780933834080807,Self,0.19561867668161614,2.5562628945692345,3.3637371054307654
Ravi,Delighted,3,23,0.8528028654224418,Self,0.17782168978975485,2.6312203866558432,3.3687796133441568
Satisfait,Satisfied,3.5,22,0.6725927091345493,Self,0.14339724740304663,3.2017890990047837,3.7982109009952163
Soulagé,Relieved,3.28,25,0.7916228058025279,Self,0.15832456116050558,2.9532341659504437,3.606765834049556
Stressé,Stressed,3.066666666666667,15,0.9611501047232548,Self,0.24816788991991204,2.5343994799977887,3.598933853335545
Surpris,Surprised,2.5,24,0.9325048082403138,Self,0.19034674690672027,2.1062377533929046,2.8937622466070954
Amusé,Amused,2.764705882352941,17,0.8313702367707395,Class,0.20163690001179543,2.33725474949939,3.1921570152064924
Anxieux,Anxious,3.3125,16,0.9464847243000456,Class,0.2366211810750114,2.8081538911278496,3.8168461088721504
Concentré,Attentive,3.2666666666666666,15,1.0997835284835873,Class,0.2839628860166776,2.657626848875376,3.8757064844579574
Confiant,Confident,2.761904761904762,21,0.9952267030562386,Class,0.21717627144745488,2.3088829980518817,3.214926525757642
Confus,Confused,3.526315789473684,19,0.6117752903214981,Class,0.14035087719298248,3.231449538211784,3.821182040735584
Dégoûté,Disgusted,2.4375,16,1.1528949070347507,Class,0.2882237267586877,1.8231656685806503,3.0518343314193497
Détendu,Relaxed,2.3,20,0.8645047258706176,Class,0.19330913339165218,1.8953993338744473,2.704600666125552
Empathique,Empathetic,2,15,1.1338934190276817,Class,0.29277002188455997,1.3720707544405917,2.6279292455594083
Enervé,Annoyed,3.142857142857143,14,1.027105182026191,Class,0.2745054065230065,2.549824266575263,3.7358900191390227
Envieux,Envious,1.6666666666666667,18,0.9074852129730301,Class,0.21389631597324932,1.215384887185148,2.1179484461481852
Frustré,Frustrated,3.625,16,0.806225774829855,Class,0.20155644370746376,3.195392609655082,4.054607390344918
Insatisfait,Disappointed,3.263157894736842,19,0.8056815791722831,Class,0.1848360307518024,2.87483180389971,3.6514839855739742
Intéressé,Interested,3.2222222222222223,18,1.0602749674192764,Class,0.24990920646150538,2.6949598853857757,3.749484559058669
Irrité,Irritated,2.7857142857142856,14,1.05090228108783,Class,0.2808654487721331,2.1789413735036134,3.392487197924958
Lassé,Bored,3.2666666666666666,15,0.8837151016885368,Class,0.2281742581087798,2.7772815553494348,3.7560517779838984
Ravi,Delighted,2.823529411764706,17,1.0145993123917847,Class,0.24607647839237515,2.3018705812070053,3.345188242322407
Satisfait,Satisfied,3.3,20,0.9233805168766387,Class,0.2064741604835056,2.867844615494261,3.7321553845057385
Soulagé,Relieved,3,19,0.8819171036881969,Class,0.20232565955562798,2.5749295625332764,3.4250704374667236
Stressé,Stressed,3.3333333333333335,9,1.118033988749895,Class,0.37267799624996495,2.4739363328813115,4.192730333785356
Surpris,Surprised,2.3684210526315788,19,0.9551338658818386,Class,0.21912273678590868,1.9080612654001274,2.82878083986303
Amusé,Amused,1.25,9,NA,Observed,NA,1.25,1.25
Anxieux,Anxious,2.0833333333333335,15,NA,Observed,NA,2.0833333333333335,2.0833333333333335
Concentré,Attentive,4.861111111111111,35,NA,Observed,NA,4.861111111111111,4.861111111111111
Confiant,Confident,2.5,18,NA,Observed,NA,2.5,2.5
Confus,Confused,2.2222222222222223,16,NA,Observed,NA,2.2222222222222223,2.2222222222222223
Dégoûté,Disgusted,0.2777777777777778,2,NA,Observed,NA,0.2777777777777778,0.2777777777777778
Détendu,Relaxed,0.6944444444444444,5,NA,Observed,NA,0.6944444444444444,0.6944444444444444
Enervé,Annoyed,0.8333333333333333,6,NA,Observed,NA,0.8333333333333333,0.8333333333333333
Frustré,Frustrated,3.611111111111111,26,NA,Observed,NA,3.611111111111111,3.611111111111111
Insatisfait,Disappointed,2.7777777777777777,20,NA,Observed,NA,2.7777777777777777,2.7777777777777777
Intéressé,Interested,5,36,NA,Observed,NA,5,5
Irrité,Irritated,0.41666666666666663,3,NA,Observed,NA,0.41666666666666663,0.41666666666666663
Lassé,Bored,3.611111111111111,26,NA,Observed,NA,3.611111111111111,3.611111111111111
Ravi,Delighted,2.2222222222222223,16,NA,Observed,NA,2.2222222222222223,2.2222222222222223
Satisfait,Satisfied,3.333333333333333,24,NA,Observed,NA,3.333333333333333,3.333333333333333
Soulagé,Relieved,4.583333333333333,33,NA,Observed,NA,4.583333333333333,4.583333333333333
Stressé,Stressed,2.9166666666666665,21,NA,Observed,NA,2.9166666666666665,2.9166666666666665
Surpris,Surprised,0.1388888888888889,1,NA,Observed,NA,0.1388888888888889,0.1388888888888889
